group_name,alt_name,Korean Name,Debut,Company,Members,Orig. Memb.,Active
NewJeans,NWJNS,뉴진스,2022-07-22,ADOR,5,5,Yes
Newkidd,,뉴키드,2019-04-25,J-FLO,7,7,Yes
NINE.i,,나인아이,2022-03-30,FirstOne,10,10,Yes
NMIXX,,엔믹스,2022-02-22,JYP,6,7,Yes
Noir,,느와르,2018-04-09,LUK,9,9,Yes
NTB,,엔티비,2018-05-28,High Choice,6,6,Yes
NU'EST,,뉴이스트,2012-03-15,Pledis,5,5,Yes
O21,,오투원,2016-06-21,Houxiu,3,6,No
OFF THE CUFF,,오프더커프,2020-04-02,Purple,5,5,No
Oh My Girl,OHMG,오마이걸,2015-04-21,WM,6,8,Yes
OhBliss,,오블리스,2016-10-17,JT Corea,5,5,Yes
ONE PACT,,원팩트,2023-11-30,ARMADA,5,5,Yes
Oneus,,원어스,2019-01-09,RBW,5,6,Yes
ONF,,온앤오프,2017-08-02,WM,6,7,Yes
OnlyOneOf,,온리원오브,2019-05-28,RSVP,6,7,Yes
P.O.P,,피오피,2017-07-26,DWM,6,6,No
P1Harmony,P1H,피원하모니,2020-10-28,FNC,6,6,Yes
PENTAGON,PTG,펜타곤,2016-10-10,Cube,9,10,Yes
Pink Fantasy,,핑크판타지,2018-10-28,My Doll,8,8,Yes
PIXY,,픽시,2021-02-24,ALLART,5,6,Yes
Playback,,플레이백,2015-06-25,Coridel,5,4,No
POW,,파우,2023-10-11,GRID,5,5,Yes
Precious,PRCS,프레셔스,2020-09-23,Umi,5,5,Yes
PRIMROSE,,프림로즈,2023-03-13,AO,1,2,Yes
PRISMA,,프리즈마,2020-10-31,UnionWave,5,5,Yes
